日期,收支,憑證類型,發票號碼,對象,對方統編,未稅,稅額,含稅,科目,來源,備註
1150828,支出,三聯式發票,CA56707702,台灣瑰寶牛樟芝生物科技,42598070,8571,429,9000,銷貨成本,LINE照片,咖啡生豆
1150820,支出,電子發票,DM05254263,川本國際包裝,28324199,26780,1339,28119,銷貨成本,LINE照片,生豆三項;買方統編印92629289非本公司,不可扣抵,待請對方作廢重開
1150902,支出,轉帳,,林清發,,29500,0,29500,租金,轉帳截圖,9月房租;房東個人戶,年底扣繳申報
1150830,收入,電子發票,,天元數位股份有限公司,27548116,2857,143,3000,銷貨收入,綠界後台,咖啡;綠界手動開立
1150902,收入,電子發票,,廣廓生活有限公司,,26190,1310,27500,銷貨收入,綠界後台,香皂包裝設計500式+提袋500個;老闆手動開立;發票號碼待從綠界後台補
1150903,收入,電子發票,FW49988307,財團法人金屬工業研究發展中心,83300307,17143,857,18000,銷貨收入,綠界後台,樟芝掛耳咖啡包360包;老闆手動開立;照片已核對
1150831,支出,電子發票,CQ98797385,開元食品工業股份有限公司,47409443,1511,76,1587,銷貨成本,LINE照片,戀職人鮮奶936ml×23
1150831,支出,電子發票,CQ98797386,開元食品工業股份有限公司,47409443,271,14,285,銷貨成本,LINE照片,開元起司絲
1150831,支出,電子發票,CQ98638116,開元食品工業股份有限公司宜蘭營業所,42031096,2826,141,2967,銷貨成本,LINE照片,戀職人鮮奶936ml×43
1150905,支出,電子發票,EV72711227,統一速達,13754282,162,8,170,運費,LINE照片,宅急便配送費
1150709,支出,電子發票,CQ29579214,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150709,支出,電子發票,CQ29579215,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150709,支出,電子發票,CQ29579216,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150709,支出,電子發票,CQ29579217,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150709,支出,電子發票,CQ29579218,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150709,支出,電子發票,CQ29579219,東森得易購,22456427,2857,143,3000,待歸類,LINE照片,漢來美食3000元好禮即享券
1150622,支出,電子發票,AQ73573424,統一速達,17936947,152,8,160,運費,LINE照片,宅急便配送費
1150604,支出,電子發票,AQ72460000,統一速達,17936947,152,8,160,運費,LINE照片,宅急便配送費
1150530,支出,電子發票,BK23836207,卡堤咖啡有限公司,16929150,267,13,280,運費,LINE照片,運費
1150530,支出,電子發票,BK23836206,卡堤咖啡有限公司,16929150,1943,97,2040,銷貨成本,LINE照片,食品
1150529,支出,電子發票,AM98634432,開元食品工業宜蘭營業所,42031096,552,28,580,銷貨成本,LINE照片,開元起司絲2包
1150529,支出,電子發票,AM98634431,開元食品工業宜蘭營業所,42031096,5257,263,5520,銷貨成本,LINE照片,戀職人鮮奶936ml×80;票面未印稅額依5%推算
1150630,支出,電子發票,AM98637789,開元食品工業宜蘭營業所,42031096,276,14,290,銷貨成本,LINE照片,開元起司絲1包
