日期,收支,憑證類型,發票號碼,對象,對方統編,未稅,稅額,含稅,科目,來源,備註
#,公司:鑫和洋行公園一館,統編92629289,,,,,,,,,"未稅/稅額多為5%推算,發票日期號碼以照片為準,申報前逐張核對"
1150820,支出,電子發票,DM05254263,川本國際包裝,28324199,26780,1339,28119,銷貨成本,LINE照片,"生豆三項(自鑫和帳更正移入,原誤判開錯統編)"
1150703,支出,電子發票,CV74151308,7-ELEVEN,90218417,123,6,129,雜項費用,LINE照片,訊息1a06fb8d5dcdb326;已核照片
1150707,支出,電子發票,DH80296395,金泉加油站,97480167,906,45,951,雜項費用,LINE照片,訊息1a06fb8e948f1592;油資;已核照片
1150601,支出,電子發票,BA93482190,中森加油站,28880723,989,49,1038,雜項費用,LINE照片,訊息1a06fb8ece457673;油資;已核照片
1150520,支出,電子發票,BJ93882820,川本國際包裝,28324199,9000,450,9450,銷貨成本,LINE照片,訊息1a06fb8eeff12220;生豆30kg;已核照片
1150708,支出,電子發票,CM57176357,IKEA台中,54284187,2590,130,2720,雜項費用,LINE照片,訊息1a06fb9374e57408;已核照片
1150817,支出,電子發票,CA18808602,中橋美術,52421777,859,43,902,雜項費用,LINE照片,訊息1a06fb948f0b94fe;手寫買方統編;已核照片
1150731,支出,電子發票,CA56123507,農心商行,41374489,33333,1667,35000,銷貨成本,LINE照片,訊息1a06fb951ef10326;冰棒一批;已核照片
1150731,支出,電子發票,DT14638703,數字智慧,28198257,34286,1714,36000,銷貨成本,LINE照片,訊息1a06fb95d4f2b6c4;金銀花保養品;已核照片
1150903,支出,電子發票,EP55515992,IKEA新莊,28005569,1739,87,1826,雜項費用,LINE照片,訊息1a06fb96a5d8b790;已核照片
1150716,支出,電子發票,DG09229910,台灣國際開發停車,60999679,267,13,280,雜項費用,LINE照片,訊息1a06fb976e65e651;停車費;已核照片
1150810,支出,電子發票,DM57545084,天霖食品行,31735843,653,33,686,銷貨成本,LINE照片,訊息1a06fb987af1e67f;已核照片
1150804,支出,電子發票,DH59002535,好市多Costco,53026887,6469,323,6792,銷貨成本,LINE照片,訊息1a06fb98ae46f57f;已核照片
1150901,支出,電子發票,FK58660047,好市多Costco,53026887,6218,311,6529,銷貨成本,LINE照片,訊息1a06fb9923fa6551;已核照片
1150818,支出,電子發票,DD88022938,福容大飯店,28501434,3122,156,3278,交際費,LINE照片,訊息1a06fb99fab2b2a2;已核照片
1150810,支出,電子發票,DM05253424,川本國際包裝,28324199,10144,507,10651,銷貨成本,LINE照片,訊息1a06fb9a11e6dec7;咖啡包材;已核照片
1150827,支出,電子發票,DQ33588277,輕車悠遊股份有限公司,53720464,95238,4762,100000,租金,LINE照片,訊息1a06fb9a5ab63d1f;場地租金;已核照片
1150731,收入,POS彙總,,門市零售(iCHEF/POS),,120767,6038,126805,銷貨收入,營業報表,115年7月日營業額合計;折扣65已扣;DQ字軌
1150831,收入,POS彙總,,門市零售(iCHEF/POS),,151929,7596,159525,銷貨收入,營業報表,115年8月日營業額合計;折扣55已扣;DQ字軌
1150716,支出,電子發票,DP19695796,優利瑪拼圖有限公司(Pintoo),54109647,2377,119,2496,待歸類,郵件發票,拼圖商品;買方抬頭鑫和洋行公園一館;未稅稅額5%推算;對方統編推定自明細連結與附件檔名
